call_ea,operation_guid,type_paramres_guid,type_param1_guid,type_param2_guid,opfunc_ea,opfunc_name,callee
0x24B5335A,"CKGUID(0x68EC3C11,0x41F36A69)","CKGUID(0x47884C3F,0x432C2C20)","CKGUID(0x47884C3F,0x432C2C20)","CKGUID(0x1CB10760,0x419F50C5)",0x24B422F0,?CKFloatPerSecondFloat@@YAXPAVCKContext@@PAVCKParameterOut@@PAVCKParameterIn@@2@Z,?RegisterOperationFunction@CKParameterManager@@QAEJAAUCKGUID@@000P6AXPAVCKContext@@PAVCKParameterOut@@PAVCKParameterIn@@3@Z@Z
0x24B533BC,"CKGUID(0x599C2CB6,0x3E7D4DE8)","CKGUID(0x47884C3F,0x432C2C20)","CKGUID(0x47884C3F,0x432C2C20)","CKGUID(0x1CB10760,0x419F50C5)",0x24B41920,?CKFloatOppositeFloat@@YAXPAVCKContext@@PAVCKParameterOut@@PAVCKParameterIn@@2@Z,?RegisterOperationFunction@CKParameterManager@@QAEJAAUCKGUID@@000P6AXPAVCKContext@@PAVCKParameterOut@@PAVCKParameterIn@@3@Z@Z
0x24B53415,"CKGUID(0x1ADA7470,0x62097629)","CKGUID(0x47884C3F,0x432C2C20)","CKGUID(0x47884C3F,0x432C2C20)","CKGUID(0x1CB10760,0x419F50C5)",0x24B41990,?CKFloatAbsoluteFloat@@YAXPAVCKContext@@PAVCKParameterOut@@PAVCKParameterIn@@2@Z,?RegisterOperationFunction@CKParameterManager@@QAEJAAUCKGUID@@000P6AXPAVCKContext@@PAVCKParameterOut@@PAVCKParameterIn@@3@Z@Z
0x24B5345D,"CKGUID(0x33CC6B49,0x3589282B)","CKGUID(0x47884C3F,0x432C2C20)","CKGUID(0x47884C3F,0x432C2C20)","CKGUID(0x47884C3F,0x432C2C20)",0x24B41A00,?CKFloatAddFloatFloat@@YAXPAVCKContext@@PAVCKParameterOut@@PAVCKParameterIn@@2@Z,?RegisterOperationFunction@CKParameterManager@@QAEJAAUCKGUID@@000P6AXPAVCKContext@@PAVCKParameterOut@@PAVCKParameterIn@@3@Z@Z
0x24B534BD,"CKGUID(0x67641171,0x6499077A)","CKGUID(0x47884C3F,0x432C2C20)","CKGUID(0x47884C3F,0x432C2C20)","CKGUID(0x47884C3F,0x432C2C20)",0x24B41AB0,?CKFloatSubtractFloatFloat@@YAXPAVCKContext@@PAVCKParameterOut@@PAVCKParameterIn@@2@Z,?RegisterOperationFunction@CKParameterManager@@QAEJAAUCKGUID@@000P6AXPAVCKContext@@PAVCKParameterOut@@PAVCKParameterIn@@3@Z@Z
0x24B53522,"CKGUID(0x38996B85,0x334E35C2)","CKGUID(0x47884C3F,0x432C2C20)","CKGUID(0x47884C3F,0x432C2C20)","CKGUID(0x47884C3F,0x432C2C20)",0x24B41B70,?CKFloatMultiplyFloatFloat@@YAXPAVCKContext@@PAVCKParameterOut@@PAVCKParameterIn@@2@Z,?RegisterOperationFunction@CKParameterManager@@QAEJAAUCKGUID@@000P6AXPAVCKContext@@PAVCKParameterOut@@PAVCKParameterIn@@3@Z@Z
0x24B53572,"CKGUID(0x748C3502,0x0FEA0CF1)","CKGUID(0x47884C3F,0x432C2C20)","CKGUID(0x47884C3F,0x432C2C20)","CKGUID(0x47884C3F,0x432C2C20)",0x24B41C20,?CKFloatDivideFloatFloat@@YAXPAVCKContext@@PAVCKParameterOut@@PAVCKParameterIn@@2@Z,?RegisterOperationFunction@CKParameterManager@@QAEJAAUCKGUID@@000P6AXPAVCKContext@@PAVCKParameterOut@@PAVCKParameterIn@@3@Z@Z
0x24B535C2,"CKGUID(0x7C2E01A8,0x6E702206)","CKGUID(0x47884C3F,0x432C2C20)","CKGUID(0x47884C3F,0x432C2C20)","CKGUID(0x47884C3F,0x432C2C20)",0x24B41CF0,?CKFloatMaxFloatFloat@@YAXPAVCKContext@@PAVCKParameterOut@@PAVCKParameterIn@@2@Z,?RegisterOperationFunction@CKParameterManager@@QAEJAAUCKGUID@@000P6AXPAVCKContext@@PAVCKParameterOut@@PAVCKParameterIn@@3@Z@Z
0x24B53612,"CKGUID(0x6EA214CB,0x43BE6B56)","CKGUID(0x47884C3F,0x432C2C20)","CKGUID(0x47884C3F,0x432C2C20)","CKGUID(0x47884C3F,0x432C2C20)",0x24B41D90,?CKFloatMinFloatFloat@@YAXPAVCKContext@@PAVCKParameterOut@@PAVCKParameterIn@@2@Z,?RegisterOperationFunction@CKParameterManager@@QAEJAAUCKGUID@@000P6AXPAVCKContext@@PAVCKParameterOut@@PAVCKParameterIn@@3@Z@Z
0x24B53662,"CKGUID(0x3DCB6039,0x7B744E45)","CKGUID(0x47884C3F,0x432C2C20)","CKGUID(0x47884C3F,0x432C2C20)","CKGUID(0x47884C3F,0x432C2C20)",0x24B41E30,?CKFloatRandomFloatFloat@@YAXPAVCKContext@@PAVCKParameterOut@@PAVCKParameterIn@@2@Z,?RegisterOperationFunction@CKParameterManager@@QAEJAAUCKGUID@@000P6AXPAVCKContext@@PAVCKParameterOut@@PAVCKParameterIn@@3@Z@Z
